no,province,provinceID,district,districtID,neighborhood,neighborhoodID
267,Amasya,27,Merzifon,156,Bahçecik Köyü,151761
268,Amasya,27,Merzifon,156,Bahçelievler,204898
269,Amasya,27,Merzifon,156,Balgöze Köyü,151915
270,Amasya,27,Merzifon,156,Bayat Köyü,151370
271,Amasya,27,Merzifon,156,Bayazıt Köyü,153515
272,Amasya,27,Merzifon,156,Buğdaylı,156139
273,Amasya,27,Merzifon,156,Bulak Köyü,154057
274,Amasya,27,Merzifon,156,Büyükçay Köyü,155275
275,Amasya,27,Merzifon,156,Camicedit,158751
276,Amasya,27,Merzifon,156,Çamlıca Köyü,134406
277,Amasya,27,Merzifon,156,Çavundur Köyü,152902
278,Amasya,27,Merzifon,156,Çaybaşı Köyü,155117
279,Amasya,27,Merzifon,156,Çayır Köyü,157207
280,Amasya,27,Merzifon,156,Çayırözü Köyü,153309
281,Amasya,27,Merzifon,156,Çobanören Köyü,156693
282,Amasya,27,Merzifon,156,Demirpınar Köyü,153216
283,Amasya,27,Merzifon,156,Derealan Köyü,153560
284,Amasya,27,Merzifon,156,Diphacı Köyü,154263
285,Amasya,27,Merzifon,156,Elmayolu Köyü,155769
286,Amasya,27,Merzifon,156,Esentepe Köyü,151356
287,Amasya,27,Merzifon,156,Eskicami,155075
288,Amasya,27,Merzifon,156,Eymir Köyü,153136
289,Amasya,27,Merzifon,156,Gazimahbup,155238
290,Amasya,27,Merzifon,156,Gelinsini Köyü,157208
291,Amasya,27,Merzifon,156,Gökçebağ Köyü,158568
292,Amasya,27,Merzifon,156,Gümüştepe Köyü,154087
293,Amasya,27,Merzifon,156,Hacet Köyü,155288
294,Amasya,27,Merzifon,156,Hacıbalı,153111
295,Amasya,27,Merzifon,156,Hacıhasan,155706
296,Amasya,27,Merzifon,156,Hacıyakup Köyü,153678
297,Amasya,27,Merzifon,156,Han Köyü,155339
298,Amasya,27,Merzifon,156,Harmanlar,134091
299,Amasya,27,Merzifon,156,Hayrettin Köyü,155488
300,Amasya,27,Merzifon,156,Hırka Köyü,153597
301,Amasya,27,Merzifon,156,Hocasüleyman,154916
302,Amasya,27,Merzifon,156,İnalan Köyü,153679
303,Amasya,27,Merzifon,156,Kamışlı Köyü,155944
304,Amasya,27,Merzifon,156,Karacakaya Köyü,156869
305,Amasya,27,Merzifon,156,Karamağara Köyü,158778
306,Amasya,27,Merzifon,156,Karamustafapaşa Köyü,153215
307,Amasya,27,Merzifon,156,Karatepe Köyü,153045
308,Amasya,27,Merzifon,156,Karşıyaka Köyü,155885
309,Amasya,27,Merzifon,156,Kayadüzü Köyü,156338
310,Amasya,27,Merzifon,156,Kıreymir Köyü,149837
311,Amasya,27,Merzifon,156,Kızıleğrek Köyü,155459
312,Amasya,27,Merzifon,156,Koç Köyü,154958
313,Amasya,27,Merzifon,156,Kuyu Köyü,135219
314,Amasya,27,Merzifon,156,Küçükçay Köyü,155098
315,Amasya,27,Merzifon,156,Kümbethatun,205167
316,Amasya,27,Merzifon,156,Mahmutlu Köyü,155688
317,Amasya,27,Merzifon,156,Mahzen,156326
318,Amasya,27,Merzifon,156,Mehmetakifersoy,157523
319,Amasya,27,Merzifon,156,Muşruf Köyü,205482
320,Amasya,27,Merzifon,156,Naccar,155315
321,Amasya,27,Merzifon,156,Nusratiye,153539
322,Amasya,27,Merzifon,156,Ortabük Köyü,156492
323,Amasya,27,Merzifon,156,Ortaova Köyü,155304
324,Amasya,27,Merzifon,156,Osmanoğlu Köyü,156891
325,Amasya,27,Merzifon,156,Oymaağaç Köyü,157433
326,Amasya,27,Merzifon,156,Oymak Köyü,154940
327,Amasya,27,Merzifon,156,Pekmezci Köyü,158938
328,Amasya,27,Merzifon,156,Saraycık Köyü,156325
329,Amasya,27,Merzifon,156,Sarıbuğday Köyü,151916
330,Amasya,27,Merzifon,156,Sarıköy Köyü,155131
